"","pert_iname","mean","n","median","sd","sRGES"
"5549","BRD-K59460069",0.0364473109394838,9,0.0343421044500813,0.00792867561181767,0.0364473109394838
"2242","BRD-K19645992",0.0364717351968453,1,0.0364717351968453,NA,0.0364717351968453
"3350","BRD-K32784186",0.0364717351968453,1,0.0364717351968453,NA,0.0364717351968453
"5462","BRD-K58282082",0.0364717351968453,1,0.0364717351968453,NA,0.0364717351968453
"6758","BRD-K73542906",0.0364717351968453,1,0.0364717351968453,NA,0.0364717351968453
"11647","tetramethyl-haematoxylone",0.0364940141236324,3,0.0373175419229409,0.00617008814860462,0.0364940141236324
"4423","BRD-K45582470",0.0364952597321387,6,0.0340082120072147,0.00940411053027173,0.0364952597321387
"8868","BRD-K98856658",0.0365021039814673,5,0.0361890652061242,0.00223978008570404,0.0365021039814673
"9359","delcorine",0.0365252999470115,3,0.0361365826378434,0.00343745258892826,0.0365252999470115
"7984","BRD-K88013557",0.0365317392992396,2,0.0365317392992396,0.0113807431444763,0.0365317392992396
"9877","HSP90-inhibitor",0.0365348137663362,8,0.0367268848387832,0.00893092254750137,0.0365348137663362
"494","BRD-A41649729",0.0365381720296661,8,0.0352734745115549,0.00555623247639772,0.0365381720296661
"1112","BRD-K05549170",0.0365404336867738,4,0.0374038771550134,0.00379597357949978,0.0365404336867738
"1584","BRD-K11611839",0.036552053883496,1,0.036552053883496,NA,0.036552053883496
"3912","BRD-K39732687",0.036552053883496,1,0.036552053883496,NA,0.036552053883496
"9278","CP-93129",0.036552053883496,1,0.036552053883496,NA,0.036552053883496
"11074","RWJ-21757",0.036552053883496,1,0.036552053883496,NA,0.036552053883496
"11853","veratridine",0.036552053883496,1,0.036552053883496,NA,0.036552053883496
"3516","BRD-K35046132",0.0365981248345009,4,0.0339666023369044,0.00944767494949164,0.0365981248345009
"1147","BRD-K05979026",0.0366227976528682,5,0.0361365826378434,0.00502971667878461,0.0366227976528682
"10538","NF-449",0.0366230266690472,11,0.03608779019078,0.00655326987561669,0.0366230266690472
"10667","oxindole-I",0.0366263607966036,6,0.0367140526968111,0.00965452723854894,0.0366263607966036
"92","alfuzosin",0.0366315374857099,4,0.0348794488185079,0.0097240717072797,0.0366315374857099
"711","BRD-K00551481",0.0366375691041079,3,0.0374641139455431,0.00872922413980284,0.0366375691041079
"7541","BRD-K82685933",0.03664249152423,10,0.0351025995767643,0.00728865834447799,0.03664249152423
"10702","PCO-400",0.0366449483101273,2,0.0366449483101273,0.00446952260266309,0.0366449483101273
"1264","BRD-K07452532",0.0366742303679062,4,0.0367382619999023,0.0124967152975011,0.0366742303679062
"9873","homoharringtonine",0.036686371669044,52,0.0347283576377619,0.00748624799777112,0.036686371669044
