"","pert_iname","mean","n","median","sd","sRGES"
"11599","talniflumate",-0.0778400276877521,8,-0.071334703015557,0.0501937909908996,-0.0778400276877521
"7470","BRD-K81807412",-0.0778390968084857,12,-0.071334703015557,0.04781117632725,-0.0778390968084857
"3620","BRD-K36313546",-0.0778353229530504,8,-0.0764616037891185,0.0428397430287974,-0.0778353229530504
"8847","BRD-K98626176",-0.0778261431481591,8,-0.0750037347758612,0.0457368639379369,-0.0778261431481591
"34","6-benzylaminopurine",-0.0778256390420449,4,-0.076136383889863,0.0500133585653309,-0.0778256390420449
"11498","SR-27897",-0.0778250183285084,10,-0.0713508737092982,0.0485132364148947,-0.0778250183285084
"10994","rhamnetin",-0.0778213346171659,22,-0.0770480456418534,0.0440755052030179,-0.0778213346171659
"7978","BRD-K87964538",-0.0778209594967434,12,-0.0794045958410682,0.0389005147672015,-0.0778209594967434
"10121","KU-C104233",-0.0778200830566639,10,-0.0766145401724601,0.0489070158097888,-0.0778200830566639
"6019","BRD-K65065275",-0.0778133162433793,4,-0.0754637868210103,0.0462304576659872,-0.0778133162433793
"7050","BRD-K76688397",-0.0778133162433793,4,-0.0754637868210103,0.0462304576659872,-0.0778133162433793
"11885","VU-0404997-2",-0.0778130606824126,12,-0.0766145401724601,0.0477270990670215,-0.0778130606824126
"3268","BRD-K31841256",-0.0778116962083502,14,-0.0738825731413568,0.0451395769810897,-0.0778116962083502
"2545","BRD-K23319301",-0.0778113859820468,20,-0.0777160238154875,0.0416125565369004,-0.0778113859820468
"5563","BRD-K59633395",-0.0778046622688822,4,-0.0761154071167003,0.050010553049029,-0.0778046622688822
"11354","SA-90377",-0.0778039697552142,6,-0.0764049185733652,0.0465455702260529,-0.0778039697552142
"8679","BRD-K96456313",-0.077803600298234,6,-0.0755660176562998,0.0462728484951135,-0.077803600298234
"327","BI-78D3",-0.0778023960059984,12,-0.0784663920243119,0.0476781436805715,-0.0778023960059984
"11150","SA-1459234",-0.0777940665853117,10,-0.0777742916217056,0.043651306382616,-0.0777940665853117
"5103","BRD-K53780220",-0.0777936446328854,14,-0.0766145401724601,0.0472598117584893,-0.0777936446328854
"403","BRD-A06276885",-0.0777931300285144,20,-0.0754021777690883,0.042764824614594,-0.0777931300285144
"11209","SA-1921085",-0.0777883861652892,10,-0.0779403910152502,0.0434044047356362,-0.0777883861652892
"2600","BRD-K23978082",-0.0777872252543199,10,-0.0713508737092982,0.0484267383304172,-0.0777872252543199
"7007","BRD-K76264608",-0.0777868710919632,10,-0.0736464620823763,0.0453865478983973,-0.0777868710919632
"8267","BRD-K91663486",-0.0777843189522244,16,-0.0790853968638279,0.042935611425899,-0.0777843189522244
"8466","BRD-K93899689",-0.0777822448637528,10,-0.0713508737092982,0.0494138587625153,-0.0777822448637528
"1470","BRD-K09957764",-0.0777773427588803,8,-0.0736464620823763,0.0467466247077648,-0.0777773427588803
"4513","BRD-K46666779",-0.0777772649155879,8,-0.0780549565390801,0.0428338649665036,-0.0777772649155879
"611","BRD-A84524947",-0.0777703398414323,12,-0.0713508737092982,0.0463976779076145,-0.0777703398414323
"10077","KN-93",-0.0777600542623313,10,-0.0713508737092982,0.048431932573592,-0.0777600542623313
"6835","BRD-K74436011",-0.0777574515082948,10,-0.0736464620823763,0.0453338300959141,-0.0777574515082948
"4923","BRD-K51633576",-0.0777451056747125,8,-0.0764326322545534,0.0443234657588756,-0.0777451056747125
"3670","BRD-K36928794",-0.0777445531783689,8,-0.0750037347758612,0.0466926158144639,-0.0777445531783689
"8268","BRD-K91677732",-0.0777404024076672,8,-0.0713508737092982,0.0505803439695474,-0.0777404024076672
"10704","PD-102807",-0.077730868962214,16,-0.0724344491641352,0.0451744190151126,-0.077730868962214
"7323","BRD-K80058284",-0.0777219585235864,8,-0.0778293491163902,0.044486342056999,-0.0777219585235864
"4748","BRD-K49562544",-0.0777148605983248,6,-0.0770675535834613,0.048387961851984,-0.0777148605983248
"5139","BRD-K54168141",-0.0777097169492704,10,-0.0793866876528778,0.0413477283643349,-0.0777097169492704
"2471","BRD-K22428007",-0.0777064427535699,4,-0.0708488038619066,0.0455933767411701,-0.0777064427535699
"8802","BRD-K98062568",-0.0777064427535699,4,-0.0708488038619066,0.0455933767411701,-0.0777064427535699
"11636","terguride",-0.077700876082883,6,-0.0770465768102986,0.0483866940544492,-0.077700876082883
"11191","SA-1919345",-0.0776962216746106,10,-0.0767408558102713,0.042753374007495,-0.0776962216746106
"5960","BRD-K64304398",-0.0776942019266187,10,-0.0713508737092982,0.0477291563096617,-0.0776942019266187
"6488","BRD-K70697816",-0.0776915902382574,10,-0.083068742222607,0.0439828283559287,-0.0776915902382574
"8860","BRD-K98822179",-0.0776847010410905,6,-0.0771839768418806,0.0452659398123251,-0.0776847010410905
"11101","SA-1456220",-0.0776847010410905,6,-0.0771839768418806,0.0452659398123251,-0.0776847010410905
"11185","SA-1473405",-0.0776847010410905,6,-0.0771839768418806,0.0452659398123251,-0.0776847010410905
"11220","SA-1922006",-0.0776847010410905,6,-0.0771839768418806,0.0452659398123251,-0.0776847010410905
"11265","SA-244466",-0.0776847010410905,6,-0.0771839768418806,0.0452659398123251,-0.0776847010410905
"11311","SA-427228",-0.0776847010410905,6,-0.0771839768418806,0.0452659398123251,-0.0776847010410905
"6357","BRD-K69159985",-0.0776593855813554,8,-0.071334703015557,0.0506300259239527,-0.0776593855813554
"11937","WY-01-034",-0.077659211033933,10,-0.0630305674280998,0.0496500827123704,-0.077659211033933
"6803","BRD-K74109131",-0.0776576893857271,8,-0.0713508737092982,0.0506276924832224,-0.0776576893857271
"9050","buphenine",-0.0776576893857271,8,-0.0713508737092982,0.0506276924832224,-0.0776576893857271
"10376","methyllidocaine",-0.0776576893857271,8,-0.0713508737092982,0.0506276924832224,-0.0776576893857271
"2429","BRD-K21773564",-0.0776537558701368,12,-0.07320272556115,0.0480555362193526,-0.0776537558701368
"11086","SA-102676",-0.077652955337464,4,-0.0796241064306772,0.0455243083568467,-0.077652955337464
"604","BRD-A83993876",-0.0776496040388566,8,-0.071334703015557,0.0506304177032669,-0.0776496040388566
"4143","BRD-K42541148",-0.0776496040388566,8,-0.071334703015557,0.0506304177032669,-0.0776496040388566
"6535","BRD-K71142328",-0.0776496040388566,8,-0.071334703015557,0.0506304177032669,-0.0776496040388566
"11893","VU-0413807-2",-0.0776496040388566,8,-0.071334703015557,0.0506304177032669,-0.0776496040388566
"7611","BRD-K83620635",-0.0776494678101609,10,-0.0713508737092982,0.0493559893254393,-0.0776494678101609
"1194","BRD-K06589444",-0.0776439338711039,8,-0.0750037347758612,0.0456456725758381,-0.0776439338711039
"2023","BRD-K17086338",-0.0776429995326645,10,-0.071334703015557,0.0493581624861298,-0.0776429995326645
"1990","BRD-K16618170",-0.0776427257431306,10,-0.071334703015557,0.0493577684358556,-0.0776427257431306
"5120","BRD-K53943507",-0.0776388987076983,4,-0.0738210411656348,0.0470942970885717,-0.0776388987076983
"6525","BRD-K71032175",-0.0776388987076983,4,-0.0738210411656348,0.0470942970885717,-0.0776388987076983
"6666","BRD-K72502177",-0.0776388987076983,4,-0.0738210411656348,0.0470942970885717,-0.0776388987076983
"7890","BRD-K86910216",-0.0776388987076983,4,-0.0738210411656348,0.0470942970885717,-0.0776388987076983
"11689","timolol",-0.0776267586296234,8,-0.071334703015557,0.0507558802701014,-0.0776267586296234
"10065","KIN001-266",-0.0776196473985101,20,-0.07637452285913,0.0425237181906806,-0.0776196473985101
"8449","BRD-K93623501",-0.0776153848816668,14,-0.0766145401724601,0.0469281603790563,-0.0776153848816668
"11664","thiazolidinecarboxylic-acid",-0.0776147934550515,4,-0.0793690572678889,0.0451967366407802,-0.0776147934550515
"9236","clobenpropit",-0.0776106593939148,12,-0.0766145401724601,0.0479479375109286,-0.0776106593939148
"11073","ruxolitinib",-0.0775934991709638,52,-0.072792749767166,0.0440696421246348,-0.0775934991709638
"31","5-methylhydantoin",-0.0775931327756534,6,-0.0762193410105999,0.0468901588968031,-0.0775931327756534
"11589","T-0901317",-0.0775805977668298,14,-0.0805939622748163,0.0440409621968156,-0.0775805977668298
"3364","BRD-K32927008",-0.0775798637645508,12,-0.0713508737092982,0.0480503305233475,-0.0775798637645508
"642","BRD-A95820578",-0.0775744310906772,8,-0.0713508737092982,0.0505074271543138,-0.0775744310906772
"1433","BRD-K09460252",-0.0775744310906772,8,-0.0713508737092982,0.0505074271543138,-0.0775744310906772
"5145","BRD-K54285697",-0.0775744310906772,8,-0.0713508737092982,0.0505074271543138,-0.0775744310906772
"10233","lobelanidine",-0.0775744310906772,8,-0.0713508737092982,0.0505074271543138,-0.0775744310906772
"10084","KU-C103443N",-0.0775697426585392,6,-0.075464301992853,0.04689791966491,-0.0775697426585392
"11319","SA-434027",-0.0775593197952098,6,-0.0783100057018684,0.0443246405275623,-0.0775593197952098
"3293","BRD-K32101742",-0.0775562845626324,6,-0.0754267550814624,0.0468966762522797,-0.0775562845626324
"8055","BRD-K88784410",-0.0775559123005445,10,-0.0713508737092982,0.0477195079997424,-0.0775559123005445
"1149","BRD-K05994859",-0.0775558582727675,2,-0.0775558582727675,0.0541602549957606,-0.0775558582727675
"2132","BRD-K18471876",-0.0775558582727675,2,-0.0775558582727675,0.0541602549957606,-0.0775558582727675
"2481","BRD-K22486133",-0.0775558582727675,2,-0.0775558582727675,0.0541602549957606,-0.0775558582727675
"3593","BRD-K36062164",-0.0775558582727675,2,-0.0775558582727675,0.0541602549957606,-0.0775558582727675
"4271","BRD-K43955935",-0.0775558582727675,2,-0.0775558582727675,0.0541602549957606,-0.0775558582727675
"6119","BRD-K66177994",-0.0775558582727675,2,-0.0775558582727675,0.0541602549957606,-0.0775558582727675
"8699","BRD-K96663038",-0.0775558582727675,2,-0.0775558582727675,0.0541602549957606,-0.0775558582727675
"8792","BRD-K97961692",-0.0775558582727675,2,-0.0775558582727675,0.0541602549957606,-0.0775558582727675
"7801","BRD-K85853281",-0.077555314135246,16,-0.0766145401724601,0.0467234673780503,-0.077555314135246
"4548","BRD-K47071092",-0.0775524572166331,6,-0.0750037347758612,0.0473870152036291,-0.0775524572166331
"5282","BRD-K55878534",-0.0775379550403859,8,-0.0771362510142068,0.0455022995508241,-0.0775379550403859
"7073","BRD-K76951091",-0.0775283490594735,8,-0.0713508737092982,0.0496225458951075,-0.0775283490594735
"3697","BRD-K37184875",-0.0775214847318304,12,-0.0757271016241345,0.0448999686579879,-0.0775214847318304
"11370","salmeterol",-0.0775194211634203,12,-0.071334703015557,0.0469921140359747,-0.0775194211634203
"3212","BRD-K31295191",-0.0775178115493499,8,-0.0708843849262458,0.0455029929334625,-0.0775178115493499
"9451","DMAB-anabaseine",-0.0775058412623737,10,-0.0713508737092982,0.0486824799877945,-0.0775058412623737
"9118","CCCP",-0.0775057537453875,20,-0.0713508737092982,0.0439885862399654,-0.0775057537453875
