"","pert_iname","mean","n","median","sd","sRGES"
"7992","BRD-K88099061",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"8030","BRD-K88590679",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"8173","BRD-K90194420",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"8263","BRD-K91617567",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"8325","BRD-K92300676",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"8335","BRD-K92434623",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"8461","BRD-K93841862",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"8467","BRD-K93944867",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"8472","BRD-K94034047",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"8606","BRD-K95608631",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"8666","BRD-K96329791",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"8667","BRD-K96343378",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"8740","BRD-K97194822",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"8743","BRD-K97233756",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"8986","BRD-M39727370",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"11203","SA-1920683",-0.063342343271755,1,-0.063342343271755,NA,-0.063342343271755
"9267","corticosterone",-0.0633400972097073,7,-0.0633584279961392,0.00554517592660195,-0.0633400972097073
"1954","BRD-K16290432",-0.0633372824551929,5,-0.0627654369809794,0.00765130213383472,-0.0633372824551929
"1347","BRD-K08307026",-0.0633370334581077,10,-0.0630706002142268,0.00571318521237272,-0.0633370334581077
"6057","BRD-K65411918",-0.0633352626328363,6,-0.0633670957218067,0.00480593333897507,-0.0633352626328363
"2197","BRD-K19198293",-0.0633343901881714,7,-0.0639582795323482,0.00557554468416665,-0.0633343901881714
"9747","gedunin",-0.0633325665606908,3,-0.0627654369809794,0.000997202557666328,-0.0633325665606908
"12017","zolmitriptan",-0.0633325665606908,3,-0.0627654369809794,0.000997202557666328,-0.0633325665606908
"1736","BRD-K13665914",-0.0633259530748074,8,-0.0630533482355332,0.00566698597025348,-0.0633259530748074
"9818","GW-405833",-0.0633209755936173,38,-0.0637179133931007,0.00903519856183932,-0.0633209755936173
"1409","BRD-K09068728",-0.0633206648811027,3,-0.0604382416544969,0.00652859172088249,-0.0633206648811027
"11905","VU-0418933-1",-0.0633192673554011,10,-0.0643943901915528,0.00546613919044987,-0.0633192673554011
"4802","BRD-K50204028",-0.063316580930835,9,-0.0604547781158663,0.0115317647370772,-0.063316580930835
"2603","BRD-K23985857",-0.0633126053853033,9,-0.0631009831928039,0.00442137749577055,-0.0633126053853033
"8169","BRD-K90143908",-0.0633072231301056,3,-0.0666484252612884,0.00715660418669947,-0.0633072231301056
"3470","BRD-K34404012",-0.0633047136861246,3,-0.0633584279961392,0.0081869192924259,-0.0633047136861246
"6648","BRD-K72343629",-0.0633020952671307,5,-0.063342343271755,0.00202149516041778,-0.0633020952671307
"5333","BRD-K56584267",-0.0633002772193845,3,-0.0672842010911324,0.00711040670257476,-0.0633002772193845
"9826","GW-843682X",-0.0632957905462168,60,-0.0634220925427102,0.00656318078607832,-0.0632957905462168
"10747","PG-9",-0.0632906498540937,3,-0.0633757634474743,0.00279428731619491,-0.0632906498540937
"10407","minaprine",-0.0632851377003039,3,-0.0633757634474743,0.00280268229387736,-0.0632851377003039
"4803","BRD-K50218580",-0.0632848713703153,3,-0.0633584279961392,0.00279404121220788,-0.0632848713703153
"10100","KU-C103885",-0.0632848713703153,3,-0.0633584279961392,0.00279404121220788,-0.0632848713703153
"82","alaproclate",-0.0632846283218223,3,-0.0633757634474743,0.00278540105643343,-0.0632846283218223
