"S/N" "All" "Boruta" "SPS"
140 0.888888888888889 0.888888888888889 0.777777777777778
141 1 1 0.888888888888889
142 0.777777777777778 0.777777777777778 0.888888888888889
143 1 1 1
144 1 1 1
145 0.888888888888889 0.888888888888889 1
146 1 1 1
147 1 1 1
148 0.777777777777778 0.777777777777778 0.888888888888889
149 1 1 1
150 1 1 1
151 1 1 1
152 1 1 0.777777777777778
153 1 1 1
154 1 1 0.888888888888889
155 1 1 0.888888888888889
156 1 1 1
157 1 1 0.888888888888889
158 0.888888888888889 0.888888888888889 1
159 0.888888888888889 0.888888888888889 0.888888888888889
160 1 1 0.888888888888889
161 0.888888888888889 0.888888888888889 1
162 1 1 1
163 0.888888888888889 0.888888888888889 0.888888888888889
164 0.888888888888889 0.888888888888889 0.777777777777778
165 1 1 1
166 0.888888888888889 0.888888888888889 0.888888888888889
167 0.888888888888889 1 0.777777777777778
168 0.888888888888889 0.888888888888889 0.888888888888889
169 1 1 1
170 1 0.888888888888889 0.666666666666667
171 0.888888888888889 0.888888888888889 1
172 0.777777777777778 0.888888888888889 0.888888888888889
173 1 1 1
174 1 1 1
175 0.888888888888889 0.888888888888889 0.888888888888889
176 1 1 0.888888888888889
177 1 0.888888888888889 0.888888888888889
178 1 1 1
179 0.888888888888889 0.888888888888889 0.888888888888889
180 1 1 0.888888888888889
181 1 1 1
182 1 1 1
183 1 1 1
184 0.888888888888889 0.888888888888889 0.888888888888889
185 0.888888888888889 0.888888888888889 1
186 1 1 1
187 1 1 1
188 1 1 0.888888888888889
189 1 1 0.888888888888889
190 1 1 1
191 1 1 1
192 0.888888888888889 0.888888888888889 0.888888888888889
193 1 1 1
194 0.888888888888889 0.888888888888889 0.888888888888889
195 1 1 1
196 1 1 0.888888888888889
197 1 1 0.888888888888889
198 1 1 1
199 1 1 1
200 0.888888888888889 0.888888888888889 1
